starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 15 01:38:56 2021	1618450736	0	5	5	0
Thu Apr 15 01:38:56 2021	1618450736	5	6	11	6
Thu Apr 15 01:38:56 2021	1618450736	5	6	11	5
Thu Apr 15 01:38:56 2021	1618450736	5	6	11	5
Thu Apr 15 01:38:56 2021	1618450736	6	6	11	5
Thu Apr 15 01:38:56 2021	1618450736	6	6	12	5
Thu Apr 15 01:38:56 2021	1618450736	6	6	12	4
Thu Apr 15 01:38:56 2021	1618450736	6	6	12	4
Thu Apr 15 01:38:56 2021	1618450736	7	6	12	4
Thu Apr 15 01:38:56 2021	1618450736	7	6	13	4
Thu Apr 15 01:38:56 2021	1618450736	7	6	13	4
Thu Apr 15 01:38:56 2021	1618450736	7	6	13	6
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	6
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	6
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	6
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	6
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	6
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	6
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	6
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	6
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	7
Thu Apr 15 01:38:56 2021	1618450736	7	7	14	7
Thu Apr 15 01:38:56 2021	1618450736	7	9	16	9
Thu Apr 15 01:38:56 2021	1618450736	7	9	16	9
Thu Apr 15 01:38:56 2021	1618450736	7	9	16	9
Thu Apr 15 01:38:56 2021	1618450736	7	9	16	9
Thu Apr 15 01:38:56 2021	1618450736	7	9	16	9
Thu Apr 15 01:38:56 2021	1618450736	7	9	16	9
Thu Apr 15 01:38:56 2021	1618450736	7	9	16	9
Thu Apr 15 01:38:56 2021	1618450736	7	9	16	9
Thu Apr 15 01:38:56 2021	1618450736	7	9	16	9
Thu Apr 15 01:38:56 2021	1618450736	7	10	17	10
Thu Apr 15 01:38:56 2021	1618450736	7	10	17	10
Thu Apr 15 01:38:56 2021	1618450736	7	10	17	10
Thu Apr 15 01:38:56 2021	1618450736	7	10	17	10
Thu Apr 15 01:38:56 2021	1618450736	7	11	17	10
Thu Apr 15 01:38:56 2021	1618450736	7	11	18	11
Thu Apr 15 01:38:56 2021	1618450736	7	12	18	11
